Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-05-15,Takopi's Original Sin,2025,https://boxd.it/emm0zT,5,,,2025-05-14
2026-01-27,Scream,1996,https://boxd.it/cR3HrD,4,,,2026-01-26
2026-01-28,Scream 2,1997,https://boxd.it/cRYCyN,3.5,,,2026-01-27
2026-01-29,Annihilation,2018,https://boxd.it/cSSF2n,3.5,,,2026-01-28
2026-02-02,Iron Lung,2026,https://boxd.it/cX7zb5,2,,,2026-02-01
2026-02-05,Send Help,2026,https://boxd.it/cZqT0n,3.5,,,2026-02-04
2026-02-11,Zoolander,2001,https://boxd.it/d57dXt,5,,,2026-02-10
2026-02-12,Ferris Bueller's Day Off,1986,https://boxd.it/d5PCtL,4,,,2026-02-11
2026-02-15,Everyone Says I Love You,1996,https://boxd.it/d8nNqJ,2,,,2026-02-14
2026-02-16,GOAT,2026,https://boxd.it/d9OnJN,4.5,,,2026-02-15
2026-02-19,GOAT,2026,https://boxd.it/dcgcXj,4,Yes,,2026-02-18
2026-02-26,How to Make a Killing,2026,https://boxd.it/diVZqf,3.5,,,2026-02-25
2026-03-17,Aaahh Belinda,1986,https://boxd.it/dy5mqb,4,,,2026-03-16
2026-03-17,Oh Belinda,2023,https://boxd.it/dy5mUZ,0.5,,,2026-03-16
2026-03-17,The Truman Show,1998,https://boxd.it/dypMgr,4.5,,,2026-03-16
2026-03-17,Marty Supreme,2025,https://boxd.it/dyEl73,4,,,2026-03-16
2026-03-21,Hoppers,2026,https://boxd.it/dBStGF,4,,,2026-03-20
2026-03-24,10 Things I Hate About You,1999,https://boxd.it/dES1dx,5,,,2026-03-23
2026-03-27,Reminders of Him,2026,https://boxd.it/dHhKaL,1,,,2026-03-26
2026-03-29,Norbit,2007,https://boxd.it/dInnJT,3.5,,,2026-03-28
2026-04-07,Project Hail Mary,2026,https://boxd.it/dRWJvF,5,,,2026-04-06
2026-04-14,Mulholland Drive,2001,https://boxd.it/dYafp5,4,,,2026-04-13
2026-04-15,Akira,1988,https://boxd.it/dYD62p,4,,,2026-04-14
2026-04-18,The Super Mario Galaxy Movie,2026,https://boxd.it/e0F0Lb,3,,,2026-04-17
2026-04-29,Lee Cronin's The Mummy,2026,https://boxd.it/e9YNMB,3,,,2026-04-28
2026-05-04,Michael,2026,https://boxd.it/edSz8h,4,,,2026-05-03
2026-05-14,The Wild Robot,2024,https://boxd.it/em6MxT,4,,,2026-05-13
2026-05-14,Scary Movie,2000,https://boxd.it/em6MXn,4,,,2026-05-13
2026-05-14,Parasite,2019,https://boxd.it/em6N5r,5,,,2026-05-13
2026-05-16,Mufasa: The Lion King,2024,https://boxd.it/en724x,3.5,,,2026-05-15
2026-05-28,Swapped,2026,https://boxd.it/exDJGD,3,,,2026-05-27
2026-05-31,Obsession,2025,https://boxd.it/eA8IeN,4.5,,,2026-05-30
2026-06-01,Despicable Me 4,2024,https://boxd.it/eB6CA9,2.5,,,2026-05-31
2026-06-03,Gazelle,2025,https://boxd.it/eD1EJZ,4.5,,,2026-06-02
2026-06-09,Backrooms,2026,https://boxd.it/eIo8Vv,3.5,,,2026-06-08
2026-06-17,Obsession,2025,https://boxd.it/eP46mh,4.5,Yes,,2026-06-16
2026-06-27,The Running Man,2025,https://boxd.it/eXxOwF,3,,,2026-06-24
2026-06-27,The Sheep Detectives,2026,https://boxd.it/eXxQ3b,3.5,,,2026-06-25
2026-06-27,Avatar Aang: The Last Airbender,2026,https://boxd.it/eXLnQV,4.5,,,2026-06-26
2026-07-05,Toy Story 5,2026,https://boxd.it/f4UHEV,3.5,,,2026-07-04
2026-07-09,Minions & Monsters,2026,https://boxd.it/f8MRQd,3.5,,,2026-07-07
